"Date","Pre-Dividend Price","Cash Dividend","Cash Dividend Yield","Stock Dividend","Issuance of Bonus Shares","Issuance of Shares for Cash","Offering Price","Book Closure"
"2020/07/28","28.95","0.7911","2.73","0.7969","0.08","0.0","0.0","2020/07/30~2020/08/03"
"2019/07/25","28.1","0.709986","2.53","0.71","0.0","0.0","0.0","2019/07/29~2019/08/02"
"2018/07/26","22.45","0.612584","2.73","0.61","0.0","0.0","0.0","2018/07/30~2018/08/03"
"2017/08/09","19.6","0.49080461","2.5","0.74","0.0","0.0","0.0","2017/08/11~2017/08/15"
"2016/07/28","19.9","0.43","2.16","1.0","0.0","0.0","0.0","2016/08/01~2016/08/05"
"2015/07/30","20.450001","0.4346757","2.13","0.87","0.0","0.0","0.0","2015/08/03~2015/08/07"
"2014/08/21","20.299999","0.27642623","1.36","0.89","0.0","0.0","0.0","2014/08/23~2014/08/27"
"2013/08/15","19.950001","0.3","1.5","1.0","0.0","0.0","0.0","2013/08/19~2013/08/23"
"2012/08/16","16.9","0.2","1.18","0.5","0.0","0.0","0.0","2012/08/20~2012/08/24"
"2011/08/25","18.549999","0.2","1.08","0.7","0.0","0.0","0.0","2011/08/29~2011/09/02"
"2010/08/19","15.0","0.1988502","1.33","0.4","0.0","0.0","0.0","2010/08/23~2010/08/27"
"2009/08/13","11.0","0.0","0.0","0.3","0.0","0.0","0.0","2009/08/17~2009/08/21"
"2008/08/07","13.35","0.4","3.0","0.4","0.0","0.0","0.0","2008/08/11~2008/08/15"
"2006/08/03","20.0","1.0","5.0","0.2","0.0","0.0","0.0","2006/08/07~2006/08/11"
"2005/08/09","27.0","1.1","4.07","0.3","0.0","0.0","0.0","2005/08/11~2005/08/15"
"2004/08/26","21.0","1.0","5.17","0.33","0.0","0.0","0.0","2004/08/30~2004/09/03"
"2002/09/10","12.7","0.0","0.0","0.0","0.0","0.0","0.0","2002/09/12~2002/09/16"
