"Date","Pre-Dividend Price","Cash Dividend","Cash Dividend Yield","Stock Dividend","Issuance of Bonus Shares","Issuance of Shares for Cash","Offering Price","Book Closure"
"2020/08/17","19.1","0.0","0.0","0.4","0.04","0.0","0.0","2020/08/19~2020/08/23"
"2020/06/29","18.4","0.65","3.53","","0.0","0.0","0.0","2020/07/01~2020/07/05"
"2019/07/02","18.95","0.9","4.75","0.0","0.0","0.0","0.0","2019/07/04~2019/07/08"
"2018/07/04","13.55","0.556315","4.11","0.0","0.0","0.0","0.0","2018/07/06~2018/07/10"
"2017/07/14","13.7","0.44777","3.27","0.0","0.0","0.0","0.0","2017/07/18~2017/07/22"
"2016/07/15","10.95","0.360995","3.3","0.0","0.0","0.0","0.0","2016/07/19~2016/07/23"
"2015/08/13","13.9","0.617839","3.89","0.26","0.0","0.0","0.0","2015/08/16~2015/08/20"
"2014/08/20","16.35","0.65","3.89","0.25","0.0","0.0","0.0","2014/08/22~2014/08/26"
"2013/07/23","16.15","0.55","3.41","0.0","0.0","0.0","0.0","2013/07/25~2013/07/29"
"2012/07/25","13.1","0.2","1.53","0.0","0.0","0.0","0.0","2012/07/27~2012/07/31"
"2011/08/25","18.450001","0.0","0.0","0.92","0.0","0.0","0.0","2011/08/27~2011/08/31"
"2010/07/08","18.35","0.9","4.9","0.0","0.0","0.0","0.0","2010/07/11~2010/07/15"
"2009/08/13","21.799999","0.18","0.83","0.0","0.0","0.0","0.0","2009/08/15~2009/08/19"
"2008/07/10","18.299999","0.65","3.55","0.0","0.0","0.0","0.0","2008/07/12~2008/07/16"
"2005/08/30","13.75","0.513","3.73","0.51","0.0","0.0","0.0","2005/09/01~2005/09/05"
"2004/09/03","14.6","0.4","2.96","0.26","0.0","0.0","0.0","2004/09/07~2004/09/11"
"2003/08/07","10.55","0.45","4.27","0.0","0.0","0.0","0.0","2003/08/11~2003/08/15"
